zone_id,latitude,longitude,historical_job_volume,avg_response_time_minutes,estimated_revenue_exposure,rainfall_24hr,wind_speed_max,storm_severity_score,moisture_sensor_avg,humidity_sensor_avg,sensor_alert_count,crew_availability,equipment_units_available,current_workload,high_demand_next_24hr
ZONE_001,36.17454011884736,-87.45914205860724,161,63,28049,0.6728544489199795,62.67405613853829,0.10717201133977605,42.29474357111523,64.88574409176358,1,2,5,7,0
ZONE_002,36.75071430640991,-86.67266646535708,125,50,73385,5.60775305167296,75.8574297411821,0.44741236682345464,88.94804867317974,59.32478146531835,6,5,6,4,1
ZONE_003,36.5319939418114,-87.09133722460078,84,123,45158,0.5821040509135482,68.72355430080586,0.5326172664550232,45.32005966803718,94.039213074767,4,1,0,10,0
ZONE_004,36.398658484197036,-86.83885810148588,122,74,70417,6.57488047432285,23.551107630739825,0.24247050363472966,83.49394955244193,55.367572938164315,10,2,6,1,1
ZONE_005,35.95601864044244,-86.32016358389608,173,177,28289,5.64993781725197,38.790810148257016,0.26924323094938096,49.52214177131966,70.64118451946304,5,4,0,14,0
ZONE_006,35.9559945203362,-87.17592010210646,175,176,14823,0.6507902451351981,14.686956136362124,0.37728416310462265,43.92499864824168,74.25850015436713,1,0,0,5,0
ZONE_007,35.858083612168194,-86.96650220005368,113,37,65160,0.6787017126815353,76.55382704440417,0.02007119777772637,51.64118071026458,30.916611961183353,4,0,7,7,0
ZONE_008,36.666176145774934,-86.51778351989404,93,84,46975,7.893116628009404,50.463097583816,0.3220791655831783,37.12400867477279,76.44761604116974,9,9,3,4,0
ZONE_009,36.40111501174321,-87.2025623848609,121,159,14540,2.9941663660489626,22.148210412759703,0.21144800699654465,77.2848442158626,42.4625176808826,3,8,3,15,0
ZONE_010,36.50807257779604,-87.39992611722256,108,81,21364,2.9651371765351273,55.37755133043925,0.32749735217791465,55.24483510832312,97.27492222286186,8,6,2,17,0
ZONE_011,35.8205844942958,-87.1233231112121,162,60,9611,6.502396538060021,51.35961803434219,0.11976213181925122,30.89914256321356,40.406390942717906,5,0,1,5,0
ZONE_012,36.769909852161994,-87.2904123265698,102,44,32663,7.57798861907087,31.862203852463036,0.890527280739895,90.96171159471116,59.023688660891665,1,7,4,4,1
ZONE_013,36.63244264080042,-86.29139305195466,155,89,56991,7.888008510582967,13.516819414972176,0.5935924535540487,44.55020992358903,35.974476765505074,0,2,4,15,0
